iter	Passed	Remaining
0	2	2439
1	4	2272
2	6	2202
3	8	2181
4	11	2203
5	12	2150
6	15	2129
7	17	2122
8	19	2117
9	21	2103
10	23	2130
11	25	2130
12	27	2117
13	29	2110
14	32	2103
15	34	2093
16	36	2096
17	38	2095
18	40	2094
19	42	2106
20	45	2115
21	47	2126
22	49	2120
23	52	2116
24	54	2116
25	56	2107
26	58	2103
27	60	2096
28	62	2090
29	64	2087
30	66	2081
31	69	2088
32	71	2082
33	73	2079
34	75	2083
35	77	2085
36	79	2079
37	81	2075
38	84	2074
39	86	2071
40	89	2087
41	91	2083
42	93	2078
43	95	2075
44	97	2078
45	99	2072
46	102	2073
47	104	2079
48	107	2077
49	109	2075
50	111	2074
51	113	2074
52	115	2071
53	118	2069
54	120	2069
55	122	2070
56	124	2067
57	128	2083
58	131	2090
59	133	2091
60	136	2097
61	139	2110
62	141	2111
63	144	2117
64	147	2118
65	149	2114
66	152	2120
67	155	2125
68	157	2124
69	159	2123
70	162	2129
71	164	2125
72	167	2124
73	171	2142
74	173	2142
75	176	2142
76	178	2145
77	181	2143
78	183	2140
79	185	2138
80	188	2138
81	191	2139
82	193	2139
83	196	2138
84	198	2134
85	200	2132
86	202	2127
87	204	2123
88	207	2120
89	209	2118
90	211	2113
91	213	2109
92	216	2108
93	218	2106
94	220	2100
95	222	2099
96	225	2095
97	227	2089
98	229	2084
99	231	2079
100	232	2073
101	234	2068
102	237	2064
103	238	2058
104	240	2052
105	242	2049
106	244	2042
107	246	2037
108	248	2031
109	250	2025
110	252	2021
111	254	2017
112	256	2017
113	258	2012
114	260	2007
115	262	2001
116	264	1996
117	266	1994
118	268	1990
119	271	1989
120	273	1987
121	275	1983
122	278	1982
123	280	1980
124	282	1976
125	284	1972
126	286	1967
127	288	1963
128	290	1959
129	292	1955
130	294	1952
131	296	1948
132	298	1944
133	300	1940
134	302	1936
135	304	1932
136	306	1928
137	308	1924
138	310	1920
139	312	1916
140	313	1912
141	315	1908
142	317	1905
143	319	1902
144	321	1897
145	323	1893
146	325	1890
147	328	1888
148	329	1884
149	331	1880
150	333	1877
151	335	1874
152	337	1870
153	339	1866
154	341	1863
155	343	1860
156	345	1855
157	347	1851
158	349	1848
159	351	1846
160	353	1842
161	355	1838
162	357	1836
163	359	1832
164	361	1829
165	363	1826
166	365	1822
167	367	1821
168	370	1820
169	372	1817
170	374	1814
171	376	1812
172	378	1809
173	380	1806
174	382	1803
175	384	1799
176	386	1797
177	388	1794
178	390	1793
179	393	1791
180	395	1790
181	397	1788
182	400	1785
183	402	1782
184	404	1782
185	406	1780
186	408	1777
187	410	1774
188	412	1770
189	414	1767
190	416	1764
191	418	1761
192	420	1758
193	422	1756
194	424	1753
195	426	1750
196	428	1747
197	430	1743
198	432	1742
199	434	1739
200	437	1737
201	438	1734
202	440	1731
203	442	1727
204	444	1725
205	446	1722
206	448	1719
207	450	1716
208	452	1712
209	454	1709
210	456	1707
211	458	1704
212	460	1701
213	462	1698
214	464	1695
215	466	1693
216	468	1690
217	470	1687
218	472	1684
219	474	1681
220	476	1678
221	478	1676
222	480	1674
223	483	1673
224	485	1671
225	486	1667
226	488	1664
227	490	1662
228	493	1660
229	495	1657
230	496	1654
231	499	1652
232	501	1649
233	502	1646
234	504	1643
235	507	1641
236	509	1640
237	511	1637
238	513	1634
239	515	1632
240	517	1629
241	519	1626
242	521	1625
243	523	1622
244	525	1619
245	527	1616
246	529	1613
247	531	1612
248	533	1609
249	535	1606
250	537	1604
251	539	1601
252	541	1598
253	543	1595
254	545	1592
255	547	1589
256	548	1587
257	551	1584
258	552	1581
259	554	1579
260	556	1576
261	558	1573
262	560	1571
263	562	1568
264	564	1566
265	566	1563
266	568	1560
267	570	1557
268	572	1555
269	574	1552
270	576	1549
271	577	1546
272	579	1544
273	581	1541
274	583	1539
275	586	1537
276	588	1534
277	590	1532
278	591	1529
279	593	1527
